Group,Br_MCR,NB_MCR,Exposure,Low80CI.WeightMean,Up80CI.WeightMean,Low95CI.WeightMean,Up95CI.WeightMean
18_28,18,28,0.059222554,0.048488786,0.070663455,0.042645622,0.077078372
18_31,18,31,0.056746979,0.046626913,0.067191872,0.041048189,0.072280625
18_33,18,33,0.090814463,0.082556878,0.099059088,0.078498803,0.103886922
18_122,18,122,0.071068893,0.056822607,0.086024699,0.048751064,0.093964223
18_134,18,134,0.061590809,0.050224556,0.0727741,0.044390465,0.079024021
18_135,18,135,0.016355671,NA,NA,NA,NA
18_136,18,136,0.071379482,0.043429345,0.099715642,0.02869688,0.113371138
18_141,18,141,0.087501576,0.06325415,0.112226011,0.049796044,0.125086576
18_143,18,143,0.083460541,0.06392092,0.103106238,0.05416797,0.113875103
18_144,18,144,0.085664493,0.051070318,0.121020043,0.033073812,0.140610836
18_145,18,145,0.03749645,0.018177298,0.057052614,0.007510126,0.067347511
18_146,18,146,0.094046302,NA,NA,NA,NA
18_151,18,151,0.065479373,0.051440698,0.07971646,0.043964152,0.087136204
18_152,18,152,0.08536694,0.050683371,0.119316379,0.03341917,0.139581278
18_155,18,155,0.072898456,0.037881453,0.107547542,0.018223568,0.125853737
18_156,18,156,0.071121125,0.036799039,0.103399248,0.020016386,0.120620968
18_157,18,157,0.05230207,0.037319308,0.066863273,0.029680231,0.074686241
18_162,18,162,0.054781652,0.040437495,0.068805726,0.031571776,0.076558402
18_171,18,171,0.052236252,0.036111662,0.068220665,0.02701673,0.077565457
18_173,18,173,0.042880426,0.023550262,0.062541897,0.012789085,0.072891592
18_181,18,181,0.046940797,0.02582167,0.069535746,0.012718306,0.082459149
18_182,18,182,0.076823751,NA,NA,NA,NA
18_184,18,184,0.048666785,0.023895093,0.074458689,0.009866969,0.089347452
18_191,18,191,0.076493194,NA,NA,NA,NA
18_192,18,192,0.058855566,NA,NA,NA,NA
18_201,18,201,0.048187664,0.031695847,0.064767598,0.022658757,0.072721181
18_202,18,202,0.0436558,0.023006801,0.063420412,0.013035188,0.074239562
18_203,18,203,0.039466755,0.018261883,0.060233871,0.007162699,0.070799171
18_204,18,204,0.043446821,0.023934389,0.062868909,0.013439243,0.073883107
18_205,18,205,0.03941017,0.01874575,0.060427502,0.00801213,0.071271734
18_211,18,211,0.035909099,NA,NA,NA,NA
18_212,18,212,0.047887741,0.030501675,0.065457372,0.02114017,0.074423307
18_213,18,213,0.039287715,0.017629001,0.059870201,0.006036816,0.07200026
18_214,18,214,0.046182848,0.028498975,0.063951093,0.019306543,0.073850611
18_221,18,221,0.05443523,0.037975639,0.070605721,0.028992125,0.079663059
18_222,18,222,0.060588649,0.036929378,0.084051616,0.024462597,0.096442541
18_231,18,231,0.04838028,0.030643842,0.066344323,0.021041048,0.076146873
18_232,18,232,0.07886708,0.046241678,0.11092549,0.028303188,0.128453662
18_241,18,241,0.046351274,0.028582326,0.064327381,0.018671471,0.074096481
18_242,18,242,0.042287045,0.019240125,0.064970588,0.006577836,0.077420389
20_5,20,5,0.065975131,0.040525426,0.091385589,0.026589146,0.103831162
20_9,20,9,0.066425217,0.040407514,0.092884061,0.025144414,0.107886136
20_10,20,10,0.074386299,NA,NA,NA,NA
20_11,20,11,0.087154531,0.046276797,0.127040668,0.024740383,0.149154347
20_13,20,13,0.043208265,0.028798847,0.057648108,0.02123432,0.065677962
20_14,20,14,0.035233638,0.023390585,0.046618251,0.017308424,0.053101008
20_15,20,15,0.048052283,0.035127878,0.060816907,0.028537375,0.066953787
20_16,20,16,0.084777699,0.046486232,0.121138705,0.027230838,0.139909275
20_18,20,18,0.072477243,0.055116587,0.08971129,0.045917788,0.098487473
20_20,20,20,0.18841427,0.147371226,0.230963008,0.123239052,0.253996548
20_22,20,22,0.035555361,0.025086801,0.04625725,0.019203794,0.051684602
20_24,20,24,0.03978091,0.031947221,0.047647379,0.02813188,0.051993287
20_28,20,28,0.033545826,0.022368111,0.044515818,0.016703548,0.04961336
20_31,20,31,0.037065791,0.029437493,0.04484743,0.025752077,0.048817264
20_33,20,33,0.052537461,0.042531952,0.063010868,0.037327876,0.068403392
20_122,20,122,0.073479437,0.054438868,0.09285799,0.044331913,0.10331231
20_134,20,134,0.063064008,0.048750492,0.076979922,0.040846307,0.084449032
20_136,20,136,0.131266881,0.075704364,0.187843562,0.046020964,0.21669983
20_141,20,141,0.07278218,0.028978656,0.116737204,0.007973189,0.139540584
20_142,20,142,0.091400778,0.058075482,0.125559432,0.039797239,0.14280321
20_143,20,143,0.050709726,0.03501406,0.067004659,0.026851084,0.075289459
20_144,20,144,0.060144756,0.026131026,0.093962486,0.007008523,0.11344516
20_145,20,145,0.060280775,0.039929571,0.081345565,0.028308441,0.091798812
20_146,20,146,0.069379719,NA,NA,NA,NA
20_151,20,151,0.084642963,0.0737126,0.095975563,0.067849806,0.102394248
20_152,20,152,0.09362808,0.068736012,0.117582331,0.056885848,0.131337518
20_155,20,155,0.083506219,0.036783323,0.12978805,0.012087696,0.155320735
20_156,20,156,0.063665847,0.043422542,0.084260961,0.033515097,0.095150487
20_157,20,157,0.064042037,0.053646351,0.074588148,0.048033671,0.080393785
20_161,20,161,0.063718622,NA,NA,NA,NA
20_162,20,162,0.040925358,0.029045553,0.052483033,0.022308537,0.058417523
20_171,20,171,0.040332966,0.030323828,0.050102407,0.025238227,0.055658136
20_173,20,173,0.046823473,0.02610061,0.067753395,0.013553573,0.079621093
20_181,20,181,0.03678713,NA,NA,NA,NA
20_184,20,184,0.054658876,0.036087009,0.072345431,0.026639302,0.083057158
20_191,20,191,0.06800707,0.033384602,0.104373328,0.013614951,0.124223812
20_192,20,192,0.067522037,0.031766676,0.102536554,0.013480627,0.121566898
20_201,20,201,0.056220732,0.040803646,0.072041389,0.032696159,0.079873311
20_202,20,202,0.05034817,0.033353134,0.066948959,0.024676266,0.075767588
20_203,20,203,0.045425462,0.027282152,0.064014516,0.017437264,0.074005415
20_204,20,204,0.050115306,0.033908261,0.065873663,0.026049563,0.073977691
20_205,20,205,0.047792277,0.030958999,0.066191637,0.021120589,0.074904608
20_211,20,211,0.036359151,NA,NA,NA,NA
20_212,20,212,0.052693353,0.036769678,0.068727119,0.02777742,0.076975439
20_213,20,213,0.042399005,0.023262976,0.062482239,0.01318099,0.072691824
20_214,20,214,0.056695117,0.041337787,0.071888165,0.033300748,0.0794346
20_221,20,221,0.057874547,0.042770012,0.072447389,0.035226207,0.080336649
20_222,20,222,0.067752381,0.046880355,0.089061693,0.036843121,0.099805327
20_231,20,231,0.057650547,0.042856821,0.07219598,0.035227607,0.080225084
20_232,20,232,0.068832544,0.051533372,0.086123407,0.042548082,0.095543855
20_241,20,241,0.048682137,0.02854326,0.068511855,0.018558827,0.078672041
20_242,20,242,0.048226181,0.026209065,0.070952866,0.013288011,0.082160664
22_5,22,5,0.026809791,0.013428558,0.040550992,0.006834233,0.047739957
22_9,22,9,0.028437082,0.016731788,0.0404195,0.011064349,0.046660207
22_10,22,10,0.026882287,0.01341329,0.040765589,0.005546298,0.04747012
22_11,22,11,0.03118695,0.019790871,0.042785311,0.013580025,0.0484942
22_13,22,13,0.061233212,0.051545549,0.070583773,0.04611116,0.075926268
22_14,22,14,0.036305757,0.026537423,0.04627094,0.02103788,0.051274808
22_15,22,15,0.033843681,0.023141522,0.044787622,0.017706203,0.050567142
22_16,22,16,0.083028638,0.057300011,0.107672489,0.043641946,0.121381416
22_18,22,18,0.026366204,0.018777738,0.033947363,0.014655467,0.037713587
22_20,22,20,0.120094765,0.085059168,0.15575323,0.065089152,0.174783654
22_22,22,22,0.226248799,0.182353135,0.269246067,0.159830907,0.294656289
22_24,22,24,0.118049369,0.102757233,0.13319015,0.095152384,0.141443653
22_28,22,28,0.05162238,0.041948456,0.060445293,0.036771313,0.065608813
22_31,22,31,0.044816768,0.035990456,0.053845402,0.031374376,0.058585048
22_33,22,33,0.042008078,0.031726752,0.05262592,0.026034006,0.058663382
22_122,22,122,0.085290157,0.059841401,0.109512148,0.047617499,0.123325482
22_134,22,134,0.060419882,0.039954317,0.080884912,0.028909529,0.092534566
22_136,22,136,0.120353273,0.04809681,0.195335176,0.004293979,0.237896594
22_141,22,141,0.065777016,NA,NA,NA,NA
22_143,22,143,0.05461879,0.036238968,0.07247994,0.025651689,0.081877893
22_144,22,144,0.140108657,NA,NA,NA,NA
22_145,22,145,0.069681279,NA,NA,NA,NA
22_151,22,151,0.065335919,0.050380873,0.080547595,0.041762681,0.089313964
22_152,22,152,0.108437682,0.056041198,0.159847097,0.029027277,0.186783229
22_155,22,155,0.070206243,NA,NA,NA,NA
22_156,22,156,0.069619163,NA,NA,NA,NA
22_157,22,157,0.053479742,0.036049591,0.070966923,0.027052643,0.080228974
22_162,22,162,0.055470554,0.039706921,0.071514171,0.031411438,0.080034268
22_171,22,171,0.048601396,0.028039683,0.068976488,0.014431423,0.083349709
22_173,22,173,0.0395952,0.005361993,0.073447455,-0.061395035,0.140410254
22_181,22,181,0.042378559,0.018655151,0.066595653,0.004724512,0.07936324
22_184,22,184,0.035220788,NA,NA,NA,NA
22_192,22,192,0.06367942,NA,NA,NA,NA
22_201,22,201,0.045936384,0.02582901,0.065267893,0.015272198,0.077685595
22_202,22,202,0.039304035,0.017890946,0.060695503,0.005167045,0.072305957
22_203,22,203,0.039359221,0.017728882,0.060831069,0.006674662,0.072208872
22_204,22,204,0.039267403,0.017373914,0.060985098,0.006413046,0.071625986
22_205,22,205,0.039081369,0.017114585,0.060956454,0.006437453,0.072390999
22_211,22,211,0.035095837,NA,NA,NA,NA
22_212,22,212,0.045730616,0.026076553,0.065086309,0.013869258,0.076899761
22_213,22,213,0.039439265,0.016984717,0.061086799,0.004490833,0.073492276
22_214,22,214,0.043802563,0.024224323,0.064090989,0.013132021,0.07470359
22_221,22,221,0.045656982,0.026127842,0.065851714,0.013700455,0.077612687
22_222,22,222,0.058227526,0.026955529,0.089319499,0.006241992,0.111414663
22_231,22,231,0.043809316,0.023607269,0.063233343,0.014204495,0.073947377
22_232,22,232,0.053881819,0.024493955,0.083775647,0.010057352,0.099257433
22_241,22,241,0.042133059,0.017638677,0.066392364,0.004994182,0.079414261
22_242,22,242,0.042432906,0.01931621,0.06690232,0.005768872,0.079766162
24_5,24,5,0.028321999,0.01639402,0.040764733,0.009907915,0.04741149
24_9,24,9,0.040558432,0.026304029,0.05511593,0.018925945,0.063581508
24_10,24,10,0.05743731,0.032899058,0.080456224,0.019688813,0.094686902
24_11,24,11,0.065757112,0.044230466,0.087797247,0.033044542,0.09939535
24_13,24,13,0.051421395,0.038025601,0.064542604,0.030736849,0.07189085
24_14,24,14,0.031377716,0.022836401,0.039970253,0.018238294,0.044335711
24_15,24,15,0.032297821,0.023218739,0.041640544,0.018556935,0.046182333
24_16,24,16,0.083810149,0.060543345,0.10831077,0.047883586,0.120506249
24_18,24,18,0.041846493,0.030345457,0.053782013,0.023502336,0.060303465
24_20,24,20,0.094006719,0.068545531,0.117965766,0.055095917,0.130660525
24_22,24,22,0.04450733,0.034144469,0.054625002,0.02880706,0.059830176
24_24,24,24,0.178102186,0.148874335,0.207144,0.132471034,0.221620633
24_28,24,28,0.064253742,0.055516471,0.073383681,0.050749247,0.077695627
24_31,24,31,0.117325931,0.086283422,0.148333075,0.069155062,0.164979102
24_33,24,33,0.052417644,0.042059123,0.063474069,0.036277202,0.069141062
24_122,24,122,0.06641146,0.047537708,0.085410093,0.036559132,0.095526418
24_134,24,134,0.052516165,0.036457794,0.068391964,0.027091245,0.077406879
24_135,24,135,0.099976934,NA,NA,NA,NA
24_136,24,136,0.093530046,0.049373214,0.139361259,0.025264905,0.162862224
24_141,24,141,0.059604305,NA,NA,NA,NA
24_142,24,142,0.047881304,0.011916071,0.084121131,-0.007913671,0.103191676
24_143,24,143,0.052343258,0.034348746,0.070518027,0.023822477,0.08044931
24_144,24,144,0.125094154,NA,NA,NA,NA
24_145,24,145,0.046979927,0.026157534,0.068266647,0.014299566,0.080066686
24_151,24,151,0.054390723,0.042972458,0.065697865,0.037523989,0.07161717
24_152,24,152,0.086785216,0.063386542,0.109511873,0.05239494,0.121506671
24_155,24,155,0.078496457,0.033680251,0.121827476,0.010831997,0.147159062
24_156,24,156,0.047419169,0.02582361,0.068388407,0.014266536,0.080222517
24_157,24,157,0.049181754,0.040361372,0.057727289,0.036087918,0.062295046
24_161,24,161,0.09640608,NA,NA,NA,NA
24_162,24,162,0.073969913,0.062918214,0.085154431,0.057026297,0.090839947
24_171,24,171,0.041450801,0.032904782,0.049918005,0.028335822,0.054261879
24_173,24,173,0.143008152,0.018571301,0.267946842,-0.04239127,0.330322466
24_181,24,181,0.035092432,NA,NA,NA,NA
24_184,24,184,0.058382558,0.038657665,0.077955954,0.028154543,0.088241889
24_191,24,191,0.063189292,0.027103442,0.100330778,0.008418687,0.118407972
24_192,24,192,0.063362752,0.027361097,0.100577032,0.008729012,0.119546138
24_201,24,201,0.032883476,0.021271051,0.044259021,0.015051404,0.050251962
24_202,24,202,0.02938677,0.017216658,0.041682888,0.010537744,0.048125898
24_203,24,203,0.048263013,0.031065293,0.066312979,0.021036809,0.076025018
24_204,24,204,0.053651433,0.038783692,0.068739509,0.031048399,0.076247091
24_205,24,205,0.050312525,0.032449275,0.067843475,0.024115765,0.076791312
24_211,24,211,0.03505258,NA,NA,NA,NA
24_212,24,212,0.033011987,0.021536403,0.044531478,0.015438619,0.050434763
24_213,24,213,0.042477392,0.021145713,0.062867402,0.010139474,0.073035748
24_214,24,214,0.031739175,0.019697021,0.043601296,0.013583888,0.050313077
24_221,24,221,0.031979336,0.020580113,0.043407972,0.014219263,0.049932067
24_222,24,222,0.028152734,0.014973795,0.041507125,0.007689726,0.048692614
24_231,24,231,0.031839232,0.019937677,0.043227173,0.013914945,0.049608178
24_232,24,232,0.031196594,0.019052526,0.043427706,0.012557119,0.050208715
24_241,24,241,0.049266559,0.027352978,0.071405797,0.016242169,0.082255454
24_242,24,242,0.045324081,0.019280238,0.071027068,0.005050599,0.085211269
28_5,28,5,0.02213581,0.011504982,0.032720076,0.005775463,0.038435167
28_9,28,9,0.046226224,0.030523894,0.061527163,0.022730499,0.069827927
28_10,28,10,0.051978984,0.032043562,0.073257608,0.021214267,0.084355286
28_11,28,11,0.060446966,0.042160331,0.079721273,0.03088233,0.089880744
28_13,28,13,0.052010611,0.042824578,0.061460845,0.037558562,0.066519393
28_14,28,14,0.044249254,0.036064451,0.052646271,0.031718243,0.057177355
